field,core,papers
Artificial intelligence,Artificial intelligence,3631284
Statistics,Statistics,1018447
Mathematical optimization,Mathematical optimization,1789039
Machine learning,Machine learning,1135935
Pattern recognition,Pattern recognition,859533
Computer vision,vision,1357476
Data mining,mining,924726
Theoretical computer science,Theoretical,645257
Discrete mathematics,Discrete mathematics,932706
Management science,Management,688556
Algorithm,Algorithm,685020
Knowledge management,Knowledge,1137156
Computer network,network,1052650
Distributed computing,Distributed,772479
Electronic engineering,Electronic,2866302
Combinatorics,Combinatorics,629431
Control engineering,Control,1781264
Database,Database,412300
Computational biology,biology,188743
Real-time computing,Real-time,897284
Cognitive science,Cognitive,159465
Natural language processing,Natural,450442
Operations management,Operations,879576
Algebra,Algebra,417176
Information retrieval,retrieval,318165
Computer security,security,514048
Programming language,language,183481
World Wide Web,Web,646561
Simulation,Simulation,946685
Systems engineering,Systems,681132
Multimedia,Multimedia,1024941
Data science,Data,403374
Human–computer interaction,Human–computer interaction,352881
Parallel computing,Parallel,289426
Mechanical engineering,Mechanical,676611
Calculus,Calculus,247090
Speech recognition,Speech,527816
Operations research,Operations research,346127
Electrical engineering,Electrical,653152
Computer graphics (images),graphics images,303359
Software engineering,Software engineering,247123
Internet privacy,privacy,282074
Telecommunications,Telecommunications,366974
Reliability engineering,Reliability,301873
Library science,Library,1375379
Embedded system,Embedded,391256
Computer engineering,Computer,222849
Computational science,Computational,103381
Transport engineering,Transport,393237
Computer architecture,architecture,104083
Automotive engineering,Automotive,560498
Operating system,Operating,287099
Manufacturing engineering,Manufacturing,353675
Architectural engineering,Architectural,190347
Engineering drawing,drawing,346874
Computer hardware,hardware,389741
Civil engineering,Civil,487523
Aeronautics,Aeronautics,141606
Construction engineering,Construction,101839
